route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
42,25832421,"Meylan, La Détourbe",12345-MFHLV10c_ST0_10_HI2122,1,SEM_42_1,1,2
49,25829459,"Seyssins, Clinique du Dauphiné",1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,0,SEM_49_1,1,2
B,26354183,"Grenoble, Oxford",1234567-MGHS05_ST5_5_HI2122,1,SEM_B_2,1,2
66,26091927,"Échirolles, La Rampe - Centre-Ville",12345-MFHLV10c_ST0_10_HI2122,0,,1,2
2,26246747,"Grenoble, Louise Michel",1234567-MEHS04_ST5_4_HI2122,1,SEM_C2_1,1,2
1,26028793,"Montbonnot-Saint-Martin, Pré de l'Eau",12345-MSILV01_ST21_1_HI2122,0,SEM_C1_6,1,2
A,26296784,"Fontaine, La Poya",1234567-MEHS04_ST5_4_HI2122,1,SEM_A_4,1,2
B,25807123,"Gières, Plaine des Sports",1234567-MGHD03_ST6_3_HI2122,0,SEM_B_1,1,2
A,26351436,"Le Pont-de-Claix, L'Etoile",12345-MEILVI03_ST21_3_HI2122,0,SEM_A_3,1,2
B,26249586,"Gières, Plaine des Sports",1234567-MGHS04_ST5_4_HI2122,0,SEM_B_1,1,2
12,25924665,"Saint-Martin-d'Hères, Les Alloves",12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_12_1,1,2
67,25485552,"Grenoble, Grand'place",12345-MFVLV01c_ST21_1_HI2122,0,SEM_67_2,1,2
4,25876733,"Eybens, Le Verderet",12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,0,SEM_C4_1,1,2
6,26006991,"Saint-Martin-d'Hères, Henri Wallon",12345-MSILV01_ST21_1_HI2122,1,,1,2
E,25716729,"Fontanil-Cornillon, Palluel",12345-MGHLV21_ST0_21_HI2122,1,SEM_E_1,1,2
4,25876674,"Eybens, Le Verderet",12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,0,SEM_C4_1,1,2
B,26107311,"Gières, Plaine des Sports",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,0,SEM_B_1,1,2
62,26273456,"Sarcenas, Guilletière",12345-MFVLV02c_ST21_2_HI2122,1,,1,2
C,26354517,"Seyssins, Le Prisme",1234567-MGHS05_ST5_5_HI2122,1,SEM_C_2,1,2
C,25810162,"Seyssins, Le Prisme",1234567-MGHS01_ST5_1_HI2122,1,SEM_C_2,1,2
6,26140423,"Grenoble, Oxford",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,,1,2
B,26107149,"Grenoble, Oxford",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,1,SEM_B_2,1,2
6,26007022,"Grenoble, Oxford",12345-MSILV01_ST21_1_HI2122,0,,1,2
1,26318563,"Grenoble, Cité Jean Macé",1234567-MSHSAH06_ST5_6_HI2122,1,SEM_C1_4,1,2
1,25785590,"Meylan, Maupertuis",1234567-MSHDF02_ST6_2_HI2122,0,SEM_C1_2,1,2
22,25700878,"Saint-Égrève, Saint Egrève Gare",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_22_1,1,2
E,25679105,"Grenoble, Louise Michel",1234567-MGHS01_ST5_1_HI2122,0,SEM_E_2,1,2
E,25847379,"Fontanil-Cornillon, Palluel",12345-MGHLV16_ST0_16_HI2122,1,SEM_E_1,1,2
5,26319186,"Grenoble, Palais de Justice - Gare",1234567-MSHSAH06_ST5_6_HI2122,0,SEM_C5_1,1,2
7,26136118,"Gières, Universités - IUT - UFRAPS",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_C7_1,1,2
6,26308651,"Saint-Martin-d'Hères, Henri Wallon",12345-MSILV02_ST21_2_HI2122,1,,1,2
43,25904672,"Gières, Gières Gare - Universités",12345-MFHLV10c_ST0_10_HI2122,1,SEM_43_2,1,2
4,25877321,"Eybens, Le Verderet",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,0,SEM_C4_1,1,2
5,26306485,"Grenoble, Palais de Justice - Gare",12345-MSILV01_ST21_1_HI2122,0,SEM_C5_1,1,2
2,25802167,"Grenoble, Louise Michel",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,1,SEM_C2_1,1,2
7,26309035,"Échirolles, Comboire",12345-MSILV02_ST21_2_HI2122,1,SEM_C7_2,1,2
15,25799033,"Domène, Les Arnauds",12345-MAHLV04_ST0_4_HI2122,0,SEM_15_3,1,2
D,25811143,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,0,SEM_D_4,1,2
5,26319249,"Grenoble, Palais de Justice - Gare",1234567-MSHSAH06_ST5_6_HI2122,0,SEM_C5_1,1,2
B,25808946,"Gières, Plaine des Sports",1234567-MGHS01_ST5_1_HI2122,0,SEM_B_1,1,2
A,25806701,"Fontaine, La Poya",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,1,SEM_A_4,1,2
2,26016122,"Grenoble, Louise Michel",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_C2_1,1,2
3,25877098,"Grenoble, Victor Hugo",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,0,SEM_C3_1,1,2
B,26107386,"Grenoble, Oxford",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,1,SEM_B_2,1,2
2,26246671,"Claix, Pont Rouge",1234567-MEHS04_ST5_4_HI2122,0,SEM_C2_2,1,2
62,26273454,"Le Sappey-en-Chartreuse, Le Sappey en Ch. Place",12345-MFVLV02c_ST21_2_HI2122,0,,1,2
1,25713170,"Meylan, Maupertuis",1234567-MSHSAH05_ST5_5_HI2122,0,SEM_C1_2,1,2
B,25807010,"Gières, Plaine des Sports",1234567-MGHD03_ST6_3_HI2122,0,SEM_B_1,1,2
B,25866869,"Grenoble, Oxford",12345-MGHLV13_ST0_13_HI2122,1,SEM_B_2,1,2
54,25793919,"Grenoble, Oxford",12345-MFHLV10c_ST0_10_HI2122,0,SEM_54_1,1,2
20,26251145,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_20_3,1,2
1,26028739,"Meylan, Maupertuis",12345-MSILV01_ST21_1_HI2122,0,SEM_C1_2,1,2
A,25806580,"Fontaine, La Poya",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,1,SEM_A_4,1,2
6,25943598,"Grenoble, Oxford",1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122,0,,1,2
A,25714061,"Fontaine, La Poya",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,1,SEM_A_4,1,2
D,25971232,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV19_ST0_19_HI2122,0,SEM_D_4,1,2
E,26332484,"Grenoble, Louise Michel",12345-MGHLV20_ST0_20_HI2122,0,SEM_E_2,1,2
49,25832832,"Seyssins, Le Prisme",12345-MFVLV01c_ST21_1_HI2122,1,SEM_49_2,1,2
B,26354079,"Gières, Plaine des Sports",1234567-MGHS05_ST5_5_HI2122,0,SEM_B_1,1,2
21,25801651,"Claix, Pont Rouge",1234567-MAHS01_ST5_1_HI2122,0,SEM_21_1,1,2
B,26355161,"Gières, Plaine des Sports",12345-MGHLV20_ST0_20_HI2122,0,SEM_B_1,1,2
42,25832476,"La Tronche, Grand Sablon",1234567-MFHS03_ST5_3_HI2122-MFHS04_ST5_4_HI2122,0,SEM_42_2,1,2
6,26007047,"Saint-Martin-d'Hères, Henri Wallon",12345-MSILV01_ST21_1_HI2122,1,,1,2
22,26020904,"Grenoble, Oxford",12345-MSILV01_ST21_1_HI2122-MSILV02_ST21_2_HI2122,1,SEM_22_2,1,2
4,25876422,"Eybens, Le Verderet",12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,0,SEM_C4_1,1,2
3,25876400,"Grenoble, Victor Hugo",12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,0,SEM_C3_1,1,2
5,25744034,"Grenoble, Palais de Justice - Gare",1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122,0,SEM_C5_1,1,2
3,26356105,"Échirolles, Centre du graphisme",12345-MEHLV09_ST8_9_HI2122-MEHW09_ST11_9_HI2122,1,SEM_C3_2,1,2
E,26248548,"Grenoble, Louise Michel",1234567-MGHS04_ST5_4_HI2122,0,SEM_E_2,1,2
C,26354418,"Seyssins, Le Prisme",1234567-MGHS05_ST5_5_HI2122,1,SEM_C_2,1,2
B,26354956,"Grenoble, Oxford",12345-MGHLV20_ST0_20_HI2122,1,SEM_B_2,1,2
14,26015620,"Gières, Gières Gare - Universités",12345-MAVLV01_ST21_1_HI2122,1,SEM_14_2,1,2
6,26318808,"Grenoble, Oxford",1234567-MSHSAH06_ST5_6_HI2122,0,,1,2
B,26235383,"Grenoble, Oxford",12345-MGHLV19_ST0_19_HI2122,1,SEM_B_2,1,2
3,26342581,"Échirolles, Centre du graphisme",12345-MEILVI03_ST21_3_HI2122,1,SEM_C3_2,1,2
A,26296831,"Grenoble, Grand'place",1234567-MEHS04_ST5_4_HI2122,0,SEM_A_1,1,2
25,26021082,"Le Gua, Les Saillants",12345-MSILV01_ST21_1_HI2122-MSILV02_ST21_2_HI2122,0,SEM_25_1,1,2
3,26012554,"Échirolles, Centre du graphisme",12345-MEILVI02_ST21_2_HI2122,1,SEM_C3_2,1,2
2,26246654,"Claix, Pont Rouge",1234567-MEHS04_ST5_4_HI2122,0,SEM_C2_2,1,2
E,25947423,"Grenoble, Louise Michel",12345-MGHLV19_ST0_19_HI2122,0,SEM_E_2,1,2
15,25799335,"Grenoble, Verdun - Préfecture",1234567-MAHS01_ST5_1_HI2122,1,SEM_15_9,1,2
3,26356097,"Échirolles, Centre du graphisme",12345-MEHLV09_ST8_9_HI2122-MEHW09_ST11_9_HI2122,1,SEM_C3_2,1,2
1,25762632,"Grenoble, Cité Jean Macé",12345-MSHLVH04_ST8_4_HI2122-MSHLW04_ST11_4_HI2122,1,SEM_C1_4,1,2
B,25808887,"Grenoble, Oxford",1234567-MGHS01_ST5_1_HI2122,1,SEM_B_2,1,2
B,26355132,"Gières, Plaine des Sports",12345-MGHLV20_ST0_20_HI2122,0,SEM_B_1,1,2
4,26322170,"Grenoble, Victor Hugo",1234567-MEHS05_ST5_5_HI2122,1,SEM_C4_2,1,2
15,25801273,"Domène, Chenevières",12345-MAVLV01_ST21_1_HI2122,0,SEM_15_12,1,2
7,26136102,"Gières, Universités - IUT - UFRAPS",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_C7_1,1,2
6,25785920,"Grenoble, Oxford",1234567-MSHDF02_ST6_2_HI2122,0,,1,2
4,26356266,"Eybens, Le Verderet",12345-MEHLV09_ST8_9_HI2122-MEHW09_ST11_9_HI2122,0,SEM_C4_1,1,2
1,25713090,"Grenoble, Cité Jean Macé",1234567-MSHSAH05_ST5_5_HI2122,1,SEM_C1_1,1,2
23,25913511,"Saint-Martin-d'Hères, Condillac - Universités",12345-MFHLV10c_ST0_10_HI2122,1,,1,2
67,25485544,"Herbeys, Herbeys Le Bourg",12345-MFVLV01c_ST21_1_HI2122,1,SEM_67_1,1,2
7,26319458,"Gières, Universités - Biologie",1234567-MSHSAH06_ST5_6_HI2122,0,SEM_C7_1,1,2
C,25810209,"Gières, Plaine des Sports",1234567-MGHS01_ST5_1_HI2122,0,SEM_C_1,1,2
E,26332752,"Fontanil-Cornillon, Palluel",12345-MGHLV20_ST0_20_HI2122,1,SEM_E_1,1,2
2,26016097,"Grenoble, Louise Michel",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_C2_1,1,2
E,26335888,"Grenoble, Louise Michel",1234567-MGHS05_ST5_5_HI2122,0,SEM_E_2,1,2
A,26296529,"Fontaine, La Poya",1234567-MEHS04_ST5_4_HI2122,1,SEM_A_4,1,2
2,26016226,"Grenoble, Louise Michel",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_C2_1,1,2
E,25847596,"Grenoble, Louise Michel",12345-MGHLV16_ST0_16_HI2122,0,SEM_E_2,1,2
A,25806713,"Fontaine, La Poya",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,1,SEM_A_4,1,2
A,26296661,"Le Pont-de-Claix, L'Etoile",1234567-MEHS04_ST5_4_HI2122,0,SEM_A_3,1,2
5,25938205,"Gières, Universités - Biologie",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,1,SEM_C5_2,1,2
1,25762646,"Grenoble, Cité Jean Macé",12345-MSHLVH04_ST8_4_HI2122-MSHLW04_ST11_4_HI2122,1,SEM_C1_5,1,2
C,26148825,"Seyssins, Le Prisme",12345-MGHLV19_ST0_19_HI2122,1,SEM_C_2,1,2
B,25866864,"Grenoble, Oxford",12345-MGHLV13_ST0_13_HI2122,1,SEM_B_2,1,2
4,25632254,"Eybens, Le Verderet",1234567-MEHD00_ST6_0_HI2122,0,SEM_C4_1,1,2
B,26235495,"Gières, Plaine des Sports",12345-MGHLV19_ST0_19_HI2122,0,SEM_B_1,1,2
C,26236745,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV19_ST0_19_HI2122,0,SEM_C_1,1,2
A,25806618,"Le Pont-de-Claix, L'Etoile",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,0,SEM_A_3,1,2
E,26096011,"Fontanil-Cornillon, Palluel",12345-MGHLV13_ST0_13_HI2122,1,SEM_E_1,1,2
A,25806568,"Le Pont-de-Claix, L'Etoile",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,0,SEM_A_3,1,2
1,26304627,"Grenoble, Cité Jean Macé",12345-MSHLVH05_ST8_5_HI2122-MSHLW05_ST11_5_HI2122,1,SEM_C1_5,1,2
E,26248433,"Grenoble, Louise Michel",1234567-MGHS04_ST5_4_HI2122,0,SEM_E_2,1,2
A,26296803,"Fontaine, La Poya",1234567-MEHS04_ST5_4_HI2122,1,SEM_A_4,1,2
21,25800045,"Seyssins, Le Prisme",12345-MAVLV01_ST21_1_HI2122,1,SEM_21_2,1,2
13,25633849,"Meylan, Lycée du Grésivaudan",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122-MEHS05_ST5_5_HI2122,1,SEM_13_2,1,2
B,26235492,"Grenoble, Oxford",12345-MGHLV19_ST0_19_HI2122,1,SEM_B_2,1,2
C,26248985,"Seyssins, Le Prisme",1234567-MGHS04_ST5_4_HI2122,1,SEM_C_2,1,2
A,25713520,"Le Pont-de-Claix, L'Etoile",1234567-MEHD00_ST6_0_HI2122,0,SEM_A_3,1,2
A,26351237,"Fontaine, La Poya",12345-MEILVI03_ST21_3_HI2122,1,SEM_A_4,1,2
13,25925024,"Meylan, Lycée du Grésivaudan",12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_13_2,1,2
3,25877409,"Grenoble, Victor Hugo",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,0,SEM_C3_1,1,2
B,26107164,"Grenoble, Oxford",12345-MGHLV16_ST0_16_HI2122-MGHLV21_ST0_21_HI2122,1,SEM_B_2,1,2
C,26368366,"Seyssins, Le Prisme",12345-MGHLV20_ST0_20_HI2122,1,SEM_C_2,1,2
A,25713661,"Fontaine, La Poya",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,1,SEM_A_4,1,2
7,26308990,"Échirolles, Comboire",12345-MSILV02_ST21_2_HI2122,1,SEM_C7_2,1,2
19,25702734,"Sassenage, L'Ovalie",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,1,SEM_19_2,1,2
7,26001850,"Échirolles, Comboire",12345-MSILV01_ST21_1_HI2122,1,SEM_C7_2,1,2
3,26356194,"Grenoble, Victor Hugo",12345-MEHLV09_ST8_9_HI2122-MEHW09_ST11_9_HI2122,0,SEM_C3_1,1,2
19,25702775,"Seyssins, Garlettes",12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_19_1,1,2
67,25485545,"Grenoble, Grand'place",12345-MFVLV01c_ST21_1_HI2122,0,SEM_67_2,1,2
A,26351372,"Le Pont-de-Claix, L'Etoile",12345-MEILVI03_ST21_3_HI2122,0,SEM_A_3,1,2
7,25730209,"Gières, Universités - Biologie",1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122,0,SEM_C7_1,1,2
43,25904667,"Venon, Le Chapon",12345-MFHLV10c_ST0_10_HI2122,0,SEM_43_1,1,2
15,25800511,"Domène, Les Arnauds",1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,0,SEM_15_13,1,2
C,26148528,"Seyssins, Le Prisme",12345-MGHLV19_ST0_19_HI2122,1,SEM_C_2,1,2
A,25713940,"Grenoble, Grand'place",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,0,SEM_A_1,1,2
C,26354494,"Seyssins, Le Prisme",1234567-MGHS05_ST5_5_HI2122,1,SEM_C_2,1,2
1,26304609,"Montbonnot-Saint-Martin, Pré de l'Eau",12345-MSHLVH05_ST8_5_HI2122-MSHLW05_ST11_5_HI2122,0,SEM_C1_6,1,2
51,25833830,"Veurey-Voroize, Châtelard",12345-MFHLV10c_ST0_10_HI2122,1,SEM_51_1,1,2
65,25485489,"Vizille, Le Péage",12345-MFVLV01c_ST21_1_HI2122,0,SEM_65_6,1,2
E,26332526,"Grenoble, Louise Michel",12345-MGHLV20_ST0_20_HI2122,0,SEM_E_2,1,2
13,25925057,"Meylan, Lycée du Grésivaudan",12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,1,SEM_13_2,1,2
A,25714005,"Le Pont-de-Claix, L'Etoile",12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,0,SEM_A_3,1,2
2,25802088,"Grenoble, Louise Michel",1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,1,SEM_C2_1,1,2
